LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FIN,INFRAINVEST,AIR,EUR,A,2015,78866994,
FIN,INFRAINVEST,AIR,EUR,A,2016,183000000,
FIN,INFRAINVEST,AIR,EUR,A,2017,175500000,
FIN,INFRAINVEST,AIR,EUR,A,2018,245400000,
FRA,INFRAINVEST,AIR,EUR,A,2014,390000000,
FRA,INFRAINVEST,AIR,EUR,A,2015,512000000,
FRA,INFRAINVEST,AIR,EUR,A,2016,774000000,
FRA,INFRAINVEST,AIR,EUR,A,2017,801000000,
FRA,INFRAINVEST,AIR,EUR,A,2018,936000000,
DEU,INFRAINVEST,AIR,EUR,A,2014,770000000,
DEU,INFRAINVEST,AIR,EUR,A,2015,850000000,
DEU,INFRAINVEST,AIR,EUR,A,2016,900000000,
DEU,INFRAINVEST,AIR,EUR,A,2017,1110000000,
DEU,INFRAINVEST,AIR,EUR,A,2018,1370000000,
GRC,INFRAINVEST,AIR,EUR,A,2014,52872584.86,E
GRC,INFRAINVEST,AIR,EUR,A,2015,43488564.19,E
GRC,INFRAINVEST,AIR,EUR,A,2016,48776899.02,E
GRC,INFRAINVEST,AIR,EUR,A,2017,27006852.31,E
HUN,INFRAINVEST,AIR,EUR,A,2014,7622778.044,
HUN,INFRAINVEST,AIR,EUR,A,2015,10194998.32,
HUN,INFRAINVEST,AIR,EUR,A,2016,17819438.38,
HUN,INFRAINVEST,AIR,EUR,A,2017,55947922.95,
HUN,INFRAINVEST,AIR,EUR,A,2018,54284064.93,
ISL,INFRAINVEST,AIR,EUR,A,2014,286693.5453,
ISL,INFRAINVEST,AIR,EUR,A,2015,537767.3975,
ISL,INFRAINVEST,AIR,EUR,A,2016,553160.6027,
ISL,INFRAINVEST,AIR,EUR,A,2017,565986.8462,
ISL,INFRAINVEST,AIR,EUR,A,2018,76745.85063,
ITA,INFRAINVEST,AIR,EUR,A,2014,123000000,
ITA,INFRAINVEST,AIR,EUR,A,2015,148000000,
ITA,INFRAINVEST,AIR,EUR,A,2016,71000000,P
ITA,INFRAINVEST,AIR,EUR,A,2017,42000000,
JPN,INFRAINVEST,AIR,EUR,A,2014,1332459141,
JPN,INFRAINVEST,AIR,EUR,A,2015,1365090741,
JPN,INFRAINVEST,AIR,EUR,A,2016,1633298992,
JPN,INFRAINVEST,AIR,EUR,A,2017,1594427779,
JPN,INFRAINVEST,AIR,EUR,A,2018,1809394709,
KOR,INFRAINVEST,AIR,EUR,A,2014,65873111.49,
KOR,INFRAINVEST,AIR,EUR,A,2015,83011255.69,
LUX,INFRAINVEST,AIR,EUR,A,2014,460268,
LUX,INFRAINVEST,AIR,EUR,A,2015,1863808,
LUX,INFRAINVEST,AIR,EUR,A,2016,1060376,
LUX,INFRAINVEST,AIR,EUR,A,2017,11154322,
LUX,INFRAINVEST,AIR,EUR,A,2018,12383061,
MEX,INFRAINVEST,AIR,EUR,A,2014,222228194.7,
MEX,INFRAINVEST,AIR,EUR,A,2015,1573099881,
MEX,INFRAINVEST,AIR,EUR,A,2016,2081614453,
MEX,INFRAINVEST,AIR,EUR,A,2017,1058045441,
NOR,INFRAINVEST,AIR,EUR,A,2014,296465631.8,
NOR,INFRAINVEST,AIR,EUR,A,2015,265273941.2,
NOR,INFRAINVEST,AIR,EUR,A,2016,872297610,
NOR,INFRAINVEST,AIR,EUR,A,2017,662800420.2,
POL,INFRAINVEST,AIR,EUR,A,2014,236826383.1,
POL,INFRAINVEST,AIR,EUR,A,2015,302428994.9,
POL,INFRAINVEST,AIR,EUR,A,2016,69896415.8,
POL,INFRAINVEST,AIR,EUR,A,2017,43934873.01,
POL,INFRAINVEST,AIR,EUR,A,2018,55353706.05,
PRT,INFRAINVEST,AIR,EUR,A,2014,45000000,
PRT,INFRAINVEST,AIR,EUR,A,2015,80000000,
PRT,INFRAINVEST,AIR,EUR,A,2016,66500000,
PRT,INFRAINVEST,AIR,EUR,A,2017,76500000,
PRT,INFRAINVEST,AIR,EUR,A,2018,49000000,
SVK,INFRAINVEST,AIR,EUR,A,2014,5000000,
SVK,INFRAINVEST,AIR,EUR,A,2015,4200000,
SVK,INFRAINVEST,AIR,EUR,A,2016,4800000,
SVK,INFRAINVEST,AIR,EUR,A,2017,3500000,
SVK,INFRAINVEST,AIR,EUR,A,2018,2900000,
ESP,INFRAINVEST,AIR,EUR,A,2014,363000000,
ESP,INFRAINVEST,AIR,EUR,A,2015,293000000,
ESP,INFRAINVEST,AIR,EUR,A,2016,378000000,
ESP,INFRAINVEST,AIR,EUR,A,2017,445000000,
ESP,INFRAINVEST,AIR,EUR,A,2018,617000000,P
SWE,INFRAINVEST,AIR,EUR,A,2014,114654442.7,
SWE,INFRAINVEST,AIR,EUR,A,2015,131273718.5,
SWE,INFRAINVEST,AIR,EUR,A,2016,242835866.6,
SWE,INFRAINVEST,AIR,EUR,A,2017,424721642.9,
SWE,INFRAINVEST,AIR,EUR,A,2018,343092807.6,
CHE,INFRAINVEST,AIR,EUR,A,2014,293923925.6,
CHE,INFRAINVEST,AIR,EUR,A,2015,213563132.3,
CHE,INFRAINVEST,AIR,EUR,A,2016,351311685.9,
CHE,INFRAINVEST,AIR,EUR,A,2017,327635840.2,
CHE,INFRAINVEST,AIR,EUR,A,2018,442722313.6,
TUR,INFRAINVEST,AIR,EUR,A,2014,503435483.9,
TUR,INFRAINVEST,AIR,EUR,A,2015,1437719725,
TUR,INFRAINVEST,AIR,EUR,A,2016,2250392756,
TUR,INFRAINVEST,AIR,EUR,A,2017,2539670986,
ALB,INFRAINVEST,AIR,EUR,A,2014,0,
ALB,INFRAINVEST,AIR,EUR,A,2015,0,
ALB,INFRAINVEST,AIR,EUR,A,2016,0,
ALB,INFRAINVEST,AIR,EUR,A,2017,0,
ALB,INFRAINVEST,AIR,EUR,A,2018,0,
AZE,INFRAINVEST,AIR,EUR,A,2014,78672167.32,
AZE,INFRAINVEST,AIR,EUR,A,2015,349810556,
AZE,INFRAINVEST,AIR,EUR,A,2016,5667006.687,
AZE,INFRAINVEST,AIR,EUR,A,2017,206992430.9,
AZE,INFRAINVEST,AIR,EUR,A,2018,19416509.01,
BGR,INFRAINVEST,AIR,EUR,A,2014,5112997.239,
BGR,INFRAINVEST,AIR,EUR,A,2015,4601697.515,
BGR,INFRAINVEST,AIR,EUR,A,2016,27098885.37,
BGR,INFRAINVEST,AIR,EUR,A,2017,13293792.82,
BGR,INFRAINVEST,AIR,EUR,A,2018,6135596.687,
HRV,INFRAINVEST,AIR,EUR,A,2014,77934665.86,
HRV,INFRAINVEST,AIR,EUR,A,2015,139742579.5,
HRV,INFRAINVEST,AIR,EUR,A,2016,175857721.1,
HRV,INFRAINVEST,AIR,EUR,A,2017,65778897.17,
HRV,INFRAINVEST,AIR,EUR,A,2018,98407948.13,
EST,INFRAINVEST,AIR,EUR,A,2014,135000,
EST,INFRAINVEST,AIR,EUR,A,2015,0,
EST,INFRAINVEST,AIR,EUR,A,2016,13817000,
EST,INFRAINVEST,AIR,EUR,A,2017,16500000,
EST,INFRAINVEST,AIR,EUR,A,2018,11000000,
GEO,INFRAINVEST,AIR,EUR,A,2014,6338829.901,
GEO,INFRAINVEST,AIR,EUR,A,2015,10982036.01,
GEO,INFRAINVEST,AIR,EUR,A,2016,55855122.49,
GEO,INFRAINVEST,AIR,EUR,A,2017,36286469.89,
GEO,INFRAINVEST,AIR,EUR,A,2018,18155366.4,
IND,INFRAINVEST,AIR,EUR,A,2014,718874988.4,
IND,INFRAINVEST,AIR,EUR,A,2015,475092045.4,
IND,INFRAINVEST,AIR,EUR,A,2016,241562306,
LVA,INFRAINVEST,AIR,EUR,A,2014,50000000,
LVA,INFRAINVEST,AIR,EUR,A,2015,42000000,
LVA,INFRAINVEST,AIR,EUR,A,2016,14000000,
LVA,INFRAINVEST,AIR,EUR,A,2017,6000000,
LVA,INFRAINVEST,AIR,EUR,A,2018,10000000,
LIE,INFRAINVEST,AIR,EUR,A,2014,,M
LIE,INFRAINVEST,AIR,EUR,A,2015,,M
LIE,INFRAINVEST,AIR,EUR,A,2016,,M
LIE,INFRAINVEST,AIR,EUR,A,2017,,M
LIE,INFRAINVEST,AIR,EUR,A,2018,,M
LTU,INFRAINVEST,AIR,EUR,A,2014,6000000,
LTU,INFRAINVEST,AIR,EUR,A,2015,6000000,
LTU,INFRAINVEST,AIR,EUR,A,2016,2000000,
LTU,INFRAINVEST,AIR,EUR,A,2017,29000000,
LTU,INFRAINVEST,AIR,EUR,A,2018,6000000,
MKD,INFRAINVEST,AIR,EUR,A,2014,483264.8001,
MKD,INFRAINVEST,AIR,EUR,A,2015,565142.2311,
MKD,INFRAINVEST,AIR,EUR,A,2016,1101601.083,
MKD,INFRAINVEST,AIR,EUR,A,2017,1013494.091,
MKD,INFRAINVEST,AIR,EUR,A,2018,1336830.76,
MDA,INFRAINVEST,AIR,EUR,A,2014,0,
ROU,INFRAINVEST,AIR,EUR,A,2014,28575928.72,
ROU,INFRAINVEST,AIR,EUR,A,2015,38693422.12,
ROU,INFRAINVEST,AIR,EUR,A,2016,22267747.39,
ROU,INFRAINVEST,AIR,EUR,A,2017,17729332.2,
ROU,INFRAINVEST,AIR,EUR,A,2018,1933820.37,
RUS,INFRAINVEST,AIR,EUR,A,2014,877751821.1,
RUS,INFRAINVEST,AIR,EUR,A,2015,851700748.7,
RUS,INFRAINVEST,AIR,EUR,A,2016,594540292.2,
RUS,INFRAINVEST,AIR,EUR,A,2017,386164776.3,
RUS,INFRAINVEST,AIR,EUR,A,2018,271224966.4,
SVN,INFRAINVEST,AIR,EUR,A,2014,1000000,
SVN,INFRAINVEST,AIR,EUR,A,2015,1000000,
SVN,INFRAINVEST,AIR,EUR,A,2016,0,
SVN,INFRAINVEST,AIR,EUR,A,2017,1000000,E
SVN,INFRAINVEST,AIR,EUR,A,2018,1000000,E
SRB,INFRAINVEST,AIR,EUR,A,2014,1109112.812,
SRB,INFRAINVEST,AIR,EUR,A,2015,198858.3871,
SRB,INFRAINVEST,AIR,EUR,A,2016,3607113.813,
SRB,INFRAINVEST,AIR,EUR,A,2017,271956.5792,
SRB,INFRAINVEST,AIR,EUR,A,2018,186047.9276,P
MNE,INFRAINVEST,AIR,EUR,A,2015,3000000,
ISR,INFRAINVEST,ROAD,EUR,A,2014,1406480428,
ISR,INFRAINVEST,ROAD,EUR,A,2015,1558384344,
ISR,INFRAINVEST,ROAD,EUR,A,2016,1665803840,
ISR,INFRAINVEST,ROAD,EUR,A,2017,2013249274,
ISR,INFRAINVEST,ROAD,EUR,A,2018,1963624354,
ARM,INFRAINVEST,RAIL,EUR,A,2014,12014666.77,
ARM,INFRAINVEST,RAIL,EUR,A,2015,12385037.63,
ARM,INFRAINVEST,RAIL,EUR,A,2016,5638192.325,
ARM,INFRAINVEST,ROAD,EUR,A,2014,66773298.72,
ARM,INFRAINVEST,ROAD,EUR,A,2015,77721546.82,
ARM,INFRAINVEST,ROAD,EUR,A,2016,90425116.73,
CHN,INFRAINVEST,RAIL,EUR,A,2014,94554260064,
CHN,INFRAINVEST,RAIL,EUR,A,2015,1.11893E+11,
CHN,INFRAINVEST,RAIL,EUR,A,2016,1.05448E+11,
CHN,INFRAINVEST,RAIL,EUR,A,2017,1.05084E+11,
CHN,INFRAINVEST,RAIL,EUR,A,2018,97308264695,
CHN,INFRAINVEST,ROAD,EUR,A,2014,3.00735E+11,
CHN,INFRAINVEST,ROAD,EUR,A,2015,4.14199E+11,
CHN,INFRAINVEST,ROAD,EUR,A,2016,4.48261E+11,
CHN,INFRAINVEST,ROAD,EUR,A,2017,5.28997E+11,
CHN,INFRAINVEST,ROAD,EUR,A,2018,5.58506E+11,
CHN,INFRAINVEST,AIR,EUR,A,2014,17548579717,
CHN,INFRAINVEST,AIR,EUR,A,2015,26633218930,
CHN,INFRAINVEST,AIR,EUR,A,2016,30207693544,
CHN,INFRAINVEST,AIR,EUR,A,2017,31433791175,
CHN,INFRAINVEST,AIR,EUR,A,2018,32144431341,
NZL,INFRAINVEST,RAIL,EUR,A,2014,148183810.4,
NZL,INFRAINVEST,RAIL,EUR,A,2015,124470372.3,
NZL,INFRAINVEST,RAIL,EUR,A,2016,115826640.3,
NZL,INFRAINVEST,RAIL,EUR,A,2017,116607858.5,
NZL,INFRAINVEST,RAIL,EUR,A,2018,96736009.77,
NZL,INFRAINVEST,AIR,EUR,A,2014,87140834.02,
NZL,INFRAINVEST,AIR,EUR,A,2015,114644756.5,
NZL,INFRAINVEST,AIR,EUR,A,2016,216444739,
NZL,INFRAINVEST,AIR,EUR,A,2017,308008627.7,
NZL,INFRAINVEST,AIR,EUR,A,2018,356457539,
CHL,INFRAINVEST,ROAD,EUR,A,2014,1330010082,P
CHL,INFRAINVEST,ROAD,EUR,A,2015,1273150278,P
CHL,INFRAINVEST,ROAD,EUR,A,2016,1313592337,P
CHL,INFRAINVEST,ROAD,EUR,A,2017,1310402232,P
CHL,INFRAINVEST,ROAD,EUR,A,2018,928822627,P
CHL,INFRAINVEST,AIR,EUR,A,2014,107066119,P
CHL,INFRAINVEST,AIR,EUR,A,2015,108201982.4,P
CHL,INFRAINVEST,AIR,EUR,A,2016,150405213.7,P
CHL,INFRAINVEST,AIR,EUR,A,2017,248530038.3,P
CHL,INFRAINVEST,AIR,EUR,A,2018,49590414.2,P
BLR,INFRAINVEST,RAIL,EUR,A,2014,297066194.9,
BLR,INFRAINVEST,RAIL,EUR,A,2015,188880081.5,
BLR,INFRAINVEST,RAIL,EUR,A,2016,96557362.16,
BLR,INFRAINVEST,RAIL,EUR,A,2017,180519302.1,
BLR,INFRAINVEST,RAIL,EUR,A,2018,89832058.53,
BLR,INFRAINVEST,ROAD,EUR,A,2014,1357658853,
BLR,INFRAINVEST,ROAD,EUR,A,2015,1007813385,
BLR,INFRAINVEST,ROAD,EUR,A,2016,872967572,
BLR,INFRAINVEST,ROAD,EUR,A,2017,960754682.4,
BLR,INFRAINVEST,ROAD,EUR,A,2018,1004655803,
BLR,INFRAINVEST,AIR,EUR,A,2014,52410437.86,
BLR,INFRAINVEST,AIR,EUR,A,2015,5152304.382,
BLR,INFRAINVEST,AIR,EUR,A,2016,105640839.3,
BLR,INFRAINVEST,AIR,EUR,A,2017,18775472.82,
BLR,INFRAINVEST,AIR,EUR,A,2018,82889923.51,
